#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662925793480432384,2.32959,0.00358173,1.08524,0.331968,-0.614861,-0.554222,0.452307,-0.000728352,-0.000445559,0.000179502,-0.00112137,0.00155551,-0.00228207,0.0864702,0.0857654,-0.00255889
1662925793490432512,2.32958,0.00357758,1.08524,0.331987,-0.614864,-0.554217,0.452295,-0.00121647,-0.000289225,0.000129063,-0.00112137,0.00155552,-0.00228207,0.0864743,0.0857705,-0.00255886
1662925793500432384,2.32957,0.00357534,1.08524,0.332012,-0.614874,-0.554212,0.452268,-0.00138041,-0.0001824,-0.000279211,-0.00112137,0.00155553,-0.00228207,0.0864791,0.0857762,-0.00255837
1662925793510432512,2.32956,0.0035745,1.08524,0.332012,-0.614893,-0.554213,0.452241,-0.00136125,5.22986e-05,-5.50262e-05,-0.00112137,0.00155554,-0.00228207,0.0864846,0.0857826,-0.00255739
1662925793520432384,2.32955,0.00357564,1.08524,0.332017,-0.614899,-0.554218,0.452223,-0.00118947,0.000200926,-0.000179687,-0.00112137,0.00155555,-0.00228207,0.0864908,0.0857894,-0.00255594
1662925793530432512,2.32953,0.00357892,1.08524,0.332028,-0.614914,-0.554217,0.452197,-0.00117359,0.000413416,-8.62818e-05,-0.00112137,0.00155556,-0.00228207,0.0864975,0.0857966,-0.00255408
1662925793540432384,2.32952,0.00358245,1.08523,0.332043,-0.614921,-0.55422,0.452172,-0.00119099,0.00034131,-0.000112611,-0.00112137,0.00155557,-0.00228207,0.0865048,0.0858043,-0.00255191
1662925793550432512,2.32951,0.00358528,1.08523,0.332054,-0.614926,-0.554213,0.452166,-0.000963353,0.000220484,-0.000226511,-0.00112136,0.00155558,-0.00228208,0.0865127,0.0858123,-0.00254951
1662925793560432384,2.3295,0.00358717,1.08523,0.332065,-0.614938,-0.554204,0.452153,-0.000785259,0.000222118,6.94526e-05,-0.00112136,0.00155559,-0.00228208,0.0865214,0.0858206,-0.00254693
1662925793570432512,2.3295,0.00358934,1.08523,0.332062,-0.614937,-0.554212,0.452146,-0.000281714,0.000222255,-2.17469e-05,-0.00112135,0.00155561,-0.00228208,0.0865308,0.0858292,-0.00254429
1662925793580432384,2.3295,0.00359199,1.08523,0.332064,-0.614936,-0.55422,0.452135,7.75784e-05,0.000308355,0.000236689,-0.00112135,0.00155562,-0.00228209,0.0865407,0.0858382,-0.00254173
1662925793590432512,2.3295,0.00359479,1.08524,0.332072,-0.614934,-0.554219,0.452134,0.000408272,0.000287505,0.0002635,-0.00112135,0.00155563,-0.00228209,0.0865511,0.0858477,-0.0025394
1662925793600432384,2.3295,0.00359814,1.08524,0.332081,-0.614929,-0.554218,0.452136,0.000732078,0.00037289,0.000223126,-0.00112134,0.00155565,-0.0022821,0.086562,0.0858578,-0.00253738
1662925793610432512,2.32951,0.00360162,1.08524,0.332072,-0.614922,-0.554216,0.452154,0.00112009,0.000413225,0.000455038,-0.00112134,0.00155566,-0.0022821,0.0865736,0.0858683,-0.00253567
1662925793620432384,2.32952,0.003606,1.08525,0.33207,-0.614916,-0.554211,0.452171,0.00127687,0.00043705,0.000508777,-0.00112133,0.00155568,-0.00228211,0.0865857,0.0858794,-0.00253427
1662925793630432256,2.32954,0.00361071,1.08525,0.332079,-0.614911,-0.554196,0.452189,0.00130838,0.000516102,0.000830355,-0.00112133,0.0015557,-0.00228212,0.086598,0.0858911,-0.00253322
1662925793640432384,2.32955,0.00361572,1.08526,0.332092,-0.614903,-0.554186,0.452201,0.00156925,0.000456296,0.000712329,-0.00112132,0.00155572,-0.00228213,0.0866104,0.0859035,-0.00253259
1662925793650432256,2.32957,0.00362019,1.08527,0.332102,-0.614895,-0.554174,0.45222,0.00149887,0.000431984,0.000763689,-0.00112132,0.00155574,-0.00228214,0.0866228,0.0859167,-0.00253241
1662925793660432384,2.32958,0.00362339,1.08528,0.332104,-0.614884,-0.554167,0.452243,0.00132966,0.000208191,0.000542302,-0.00112132,0.00155576,-0.00228215,0.0866355,0.0859307,-0.00253271
1662925793670432256,2.32959,0.00362564,1.08528,0.33211,-0.614869,-0.554161,0.452265,0.000939798,0.000236524,0.000270068,-0.00112131,0.00155578,-0.00228216,0.0866481,0.0859456,-0.00253352
1662925793680432384,2.3296,0.00362867,1.08528,0.332107,-0.614862,-0.554156,0.452283,0.00045246,0.000328881,0.000276544,-0.00112131,0.0015558,-0.00228218,0.0866606,0.0859615,-0.00253486
1662925793690432256,2.3296,0.00363161,1.08528,0.332106,-0.614859,-0.55415,0.452296,1.80336e-05,0.000266778,-0.000198768,-0.0011213,0.00155582,-0.00228219,0.0866725,0.0859786,-0.00253679
1662925793700432384,2.3296,0.0036355,1.08528,0.332105,-0.614855,-0.554145,0.452308,-0.00060988,0.000502933,-0.000388272,-0.0011213,0.00155585,-0.00228221,0.0866842,0.0859965,-0.00253928
1662925793710432256,2.32959,0.00364062,1.08528,0.332091,-0.614854,-0.554148,0.452317,-0.00118526,0.000505135,-0.000624289,-0.00112129,0.00155587,-0.00228223,0.0866955,0.0860154,-0.00254232
1662925793720432384,2.32957,0.00364636,1.08527,0.332073,-0.614856,-0.554152,0.452322,-0.00171944,0.000563694,-0.000787376,-0.00112128,0.00155589,-0.00228224,0.0867064,0.086035,-0.0025459
1662925793730432256,2.32956,0.00365258,1.08526,0.332043,-0.614868,-0.554166,0.45231,-0.00206543,0.000677304,-0.000709386,-0.00112128,0.00155591,-0.00228226,0.0867167,0.0860553,-0.00255005
1662925793740432384,2.32953,0.00365988,1.08525,0.332014,-0.614873,-0.554179,0.452308,-0.00226034,0.000656261,-0.00118994,-0.00112127,0.00155593,-0.00228228,0.086726,0.0860764,-0.00255485
1662925793750432256,2.32951,0.00366595,1.08524,0.331985,-0.614883,-0.554193,0.4523,-0.00229048,0.000547588,-0.00109665,-0.00112126,0.00155595,-0.0022823,0.0867342,0.086098,-0.00256036
1662925793760432128,2.32949,0.00367134,1.08523,0.33195,-0.614895,-0.55421,0.452289,-0.0020614,0.000517989,-0.0012989,-0.00112125,0.00155597,-0.00228233,0.0867414,0.0861198,-0.00256667
1662925793770432256,2.32947,0.00367776,1.08522,0.331907,-0.6149,-0.554231,0.452287,-0.00182579,0.000680141,-0.0010278,-0.00112123,0.00155599,-0.00228235,0.0867476,0.0861416,-0.0025739
1662925793780432128,2.32945,0.0036837,1.08521,0.331869,-0.614918,-0.554246,0.452272,-0.0013891,0.000482346,-0.000763649,-0.00112122,0.001556,-0.00228237,0.0867524,0.0861632,-0.00258219
1662925793790432256,2.32944,0.00368872,1.0852,0.331853,-0.614924,-0.554254,0.452265,-0.000754693,0.000419438,-0.000695006,-0.00112121,0.00155602,-0.0022824,0.0867557,0.0861846,-0.0025917
1662925793800432128,2.32943,0.00369266,1.08519,0.331844,-0.614923,-0.554256,0.452271,-0.000393882,0.000363096,-0.000244848,-0.00112119,0.00155604,-0.00228243,0.0867575,0.0862055,-0.00260253
1662925793810432256,2.32943,0.0036954,1.08519,0.331842,-0.614918,-0.554252,0.452284,0.000176039,0.000130004,-0.000388919,-0.00112118,0.00155605,-0.00228245,0.0867581,0.086226,-0.0026147
1662925793820432128,2.32944,0.00369742,1.08519,0.331834,-0.614919,-0.55425,0.452292,0.000513872,0.000242939,-9.61722e-05,-0.00112116,0.00155607,-0.00228248,0.0867574,0.086246,-0.00262817
1662925793830432256,2.32944,0.00370044,1.08519,0.331828,-0.614918,-0.554244,0.452304,0.000953292,0.000315319,0.000119558,-0.00112114,0.00155608,-0.00228251,0.0867554,0.0862655,-0.00264294
1662925793840432128,2.32945,0.00370491,1.08519,0.331828,-0.614913,-0.554241,0.452316,0.00115998,0.000432918,0.000262029,-0.00112112,0.0015561,-0.00228254,0.086752,0.0862847,-0.00265898
1662925793850432256,2.32947,0.00370861,1.08519,0.33183,-0.614894,-0.55424,0.452341,0.00128916,0.000326462,0.000319041,-0.0011211,0.00155611,-0.00228257,0.0867472,0.0863038,-0.00267626
1662925793860432128,2.32948,0.00371084,1.08519,0.33184,-0.614878,-0.554242,0.452353,0.00135832,5.58148e-05,2.74746e-05,-0.00112108,0.00155613,-0.0022826,0.0867414,0.0863228,-0.00269458
1662925793870432256,2.32949,0.00371126,1.0852,0.331848,-0.614864,-0.554234,0.452375,0.000918302,4.37137e-05,0.00019433,-0.00112106,0.00155615,-0.00228263,0.0867346,0.086342,-0.00271362
1662925793880432128,2.3295,0.00371218,1.0852,0.331859,-0.614856,-0.554224,0.452391,0.000492862,7.56749e-05,5.42793e-05,-0.00112104,0.00155617,-0.00228266,0.086727,0.0863617,-0.00273307
1662925793890432000,2.3295,0.0037135,1.0852,0.331861,-0.614846,-0.554222,0.452406,-4.94466e-05,8.90331e-05,-0.000235526,-0.00112101,0.00155618,-0.00228269,0.0867185,0.0863821,-0.00275268
1662925793900432128,2.3295,0.00371383,1.08519,0.331853,-0.614841,-0.554219,0.452422,-0.000674935,4.83191e-05,-0.000416002,-0.00112099,0.0015562,-0.00228273,0.0867093,0.0864031,-0.00277227
1662925793910432000,2.32949,0.00371523,1.08519,0.331835,-0.61484,-0.554223,0.452431,-0.00109931,0.000180535,-0.000757612,-0.00112096,0.00155622,-0.00228276,0.0866997,0.0864247,-0.00279169
1662925793920432128,2.32947,0.00371726,1.08518,0.331799,-0.614845,-0.554236,0.452435,-0.00151042,0.000219697,-0.000781445,-0.00112093,0.00155624,-0.00228279,0.0866898,0.0864469,-0.00281071
1662925793930432000,2.32946,0.0037199,1.08517,0.331756,-0.614856,-0.554256,0.452427,-0.00160531,0.000306686,-0.00109091,-0.00112091,0.00155626,-0.00228283,0.0866797,0.0864695,-0.00282913
1662925793940432128,2.32944,0.00372348,1.08516,0.331711,-0.614864,-0.554278,0.452422,-0.00175379,0.000331735,-0.000905964,-0.00112088,0.00155628,-0.00228287,0.0866693,0.0864925,-0.0028468
1662925793950432000,2.32943,0.00372602,1.08515,0.331652,-0.614877,-0.554299,0.452422,-0.00155675,0.000200901,-0.000783697,-0.00112085,0.00155629,-0.0022829,0.0866587,0.0865158,-0.00286373
1662925793960432128,2.32941,0.00372749,1.08514,0.3316,-0.61489,-0.554323,0.452413,-0.00109354,5.47708e-05,-0.000872894,-0.00112082,0.00155631,-0.00228294,0.086648,0.0865391,-0.00287993
1662925793970432000,2.3294,0.00372743,1.08514,0.331572,-0.614897,-0.554331,0.452414,-0.00051514,-2.99631e-05,-0.000442065,-0.00112079,0.00155633,-0.00228298,0.0866373,0.0865622,-0.00289536
1662925793980432128,2.3294,0.00372616,1.08513,0.33154,-0.614894,-0.554342,0.452428,0.000147969,-0.000246117,-0.00028102,-0.00112076,0.00155634,-0.00228302,0.0866266,0.0865849,-0.00290995
1662925793990432000,2.32941,0.00372338,1.08513,0.331522,-0.614886,-0.554348,0.452444,0.000831568,-0.000312331,0.000122134,-0.00112073,0.00155636,-0.00228306,0.0866157,0.0866072,-0.00292375
1662925794000432128,2.32942,0.00372014,1.08513,0.331514,-0.614876,-0.554347,0.452466,0.00146678,-0.000319176,0.000282714,-0.0011207,0.00155637,-0.0022831,0.0866045,0.0866288,-0.00293693
1662925794010432000,2.32944,0.00371753,1.08514,0.331515,-0.61486,-0.554345,0.452489,0.00189661,-0.000244845,0.00055407,-0.00112066,0.00155638,-0.00228314,0.086593,0.0866496,-0.00294964
1662925794020431872,2.32946,0.00371394,1.08514,0.331521,-0.614838,-0.554337,0.452525,0.00212396,-0.000466558,0.000721666,-0.00112063,0.0015564,-0.00228318,0.0865814,0.0866696,-0.00296185
1662925794030432000,2.32948,0.00370833,1.08515,0.331552,-0.614808,-0.554327,0.452554,0.00204766,-0.000646501,0.000443363,-0.0011206,0.00155641,-0.00228323,0.0865697,0.0866886,-0.00297356
1662925794040431872,2.3295,0.00370292,1.08516,0.331576,-0.614783,-0.554321,0.452578,0.00171583,-0.000448491,0.0007189,-0.00112056,0.00155642,-0.00228327,0.0865578,0.0867066,-0.00298476
1662925794050432000,2.32951,0.00369796,1.08516,0.3316,-0.614762,-0.554307,0.452606,0.0013494,-0.000564179,0.000523674,-0.00112053,0.00155644,-0.00228332,0.0865454,0.0867236,-0.0029956
1662925794060431872,2.32952,0.00369292,1.08517,0.331626,-0.614742,-0.554302,0.452621,0.000834778,-0.000449281,0.000328718,-0.00112049,0.00155645,-0.00228337,0.0865327,0.0867397,-0.00300612
1662925794070432000,2.32953,0.00368841,1.08517,0.331638,-0.614731,-0.554298,0.452632,0.000182632,-0.000401185,0.000233952,-0.00112046,0.00155647,-0.00228342,0.0865198,0.0867548,-0.00301623
1662925794080431872,2.32953,0.00368475,1.08517,0.331639,-0.614728,-0.554295,0.45264,-0.000371194,-0.000379042,-0.000174998,-0.00112042,0.00155648,-0.00228347,0.086507,0.0867688,-0.00302582
1662925794090432000,2.32952,0.00368117,1.08517,0.331641,-0.614733,-0.554287,0.45264,-0.00103962,-0.000319362,-0.000249729,-0.00112039,0.0015565,-0.00228352,0.086494,0.0867819,-0.0030348
1662925794100431872,2.32951,0.00367848,1.08516,0.331637,-0.61474,-0.554291,0.45263,-0.00136275,-0.000240428,-0.000577383,-0.00112035,0.00155652,-0.00228357,0.0864807,0.086794,-0.00304324
1662925794110432000,2.32949,0.00367661,1.08516,0.331623,-0.614749,-0.554296,0.45262,-0.00173881,-0.000137408,-0.000398594,-0.00112032,0.00155654,-0.00228362,0.0864672,0.0868053,-0.0030512
1662925794120431872,2.32948,0.00367493,1.08515,0.33161,-0.614759,-0.55431,0.452599,-0.00167525,-0.000155399,-0.000566276,-0.00112028,0.00155655,-0.00228368,0.0864536,0.086816,-0.00305867
1662925794130432000,2.32946,0.00367353,1.08515,0.331587,-0.614775,-0.55432,0.452583,-0.00157641,-0.000173757,-0.000627533,-0.00112024,0.00155657,-0.00228374,0.0864401,0.086826,-0.00306563
1662925794140431872,2.32945,0.00367214,1.08514,0.331574,-0.614792,-0.554326,0.452562,-0.00154281,-7.54126e-05,-0.000245559,-0.00112021,0.00155659,-0.00228379,0.0864265,0.0868356,-0.00307208
1662925794150431744,2.32943,0.00367116,1.08514,0.331569,-0.614809,-0.554333,0.452534,-0.00114394,-0.000195126,-0.000238572,-0.00112017,0.00155661,-0.00228385,0.0864126,0.0868449,-0.00307815
1662925794160431872,2.32942,0.00366874,1.08514,0.331562,-0.614823,-0.554336,0.452516,-0.000634177,-0.00030232,8.52278e-05,-0.00112014,0.00155663,-0.00228391,0.0863982,0.0868541,-0.00308401
1662925794170431744,2.32942,0.00366497,1.08514,0.331569,-0.61483,-0.554337,0.452501,-5.6946e-06,-0.000460176,0.000264221,-0.0011201,0.00155666,-0.00228397,0.0863835,0.0868634,-0.00308977
1662925794180431872,2.32942,0.00365996,1.08515,0.331583,-0.614834,-0.554334,0.452488,0.000624172,-0.000611876,0.000513261,-0.00112006,0.00155668,-0.00228404,0.0863684,0.0868728,-0.00309555
1662925794190431744,2.32943,0.00365291,1.08515,0.331586,-0.614831,-0.554332,0.452493,0.00125655,-0.000757387,0.000808655,-0.00112003,0.0015567,-0.0022841,0.0863527,0.0868828,-0.00310144
1662925794200431872,2.32945,0.00364604,1.08516,0.331604,-0.614826,-0.554326,0.452494,0.00169465,-0.000718034,0.00079281,-0.00111999,0.00155673,-0.00228416,0.0863361,0.0868931,-0.0031075
1662925794210431744,2.32947,0.00363836,1.08517,0.331618,-0.614816,-0.554315,0.45251,0.00195125,-0.000814404,0.00113554,-0.00111996,0.00155676,-0.00228423,0.0863189,0.0869039,-0.00311374
1662925794220431872,2.32949,0.003629,1.08518,0.331644,-0.614794,-0.554311,0.452526,0.00206788,-0.00107608,0.000852552,-0.00111992,0.00155678,-0.00228429,0.0863012,0.0869151,-0.00312003
1662925794230431744,2.32951,0.00361872,1.08519,0.331698,-0.61477,-0.554293,0.452542,0.00198507,-0.000935384,0.000914027,-0.00111988,0.00155681,-0.00228436,0.0862833,0.0869266,-0.00312626
1662925794240431872,2.32953,0.00361021,1.0852,0.331736,-0.614764,-0.554271,0.452548,0.00182321,-0.000782469,0.000946483,-0.00111985,0.00155684,-0.00228443,0.086265,0.0869385,-0.00313234
1662925794250431744,2.32954,0.00360272,1.08521,0.331768,-0.614748,-0.554259,0.452562,0.00163489,-0.000813904,0.000616197,-0.00111981,0.00155687,-0.00228449,0.0862464,0.0869508,-0.00313831
1662925794260431872,2.32956,0.0035945,1.08521,0.331789,-0.614731,-0.554254,0.452575,0.00113773,-0.000775913,0.000638864,-0.00111978,0.0015569,-0.00228456,0.0862275,0.0869635,-0.00314422
1662925794270431744,2.32956,0.00358716,1.08522,0.331813,-0.614727,-0.554247,0.452572,0.000487475,-0.000709488,0.000252592,-0.00111974,0.00155693,-0.00228463,0.0862085,0.0869764,-0.00315001
1662925794280431872,2.32957,0.00358012,1.08522,0.331831,-0.614731,-0.554237,0.452565,-0.000104392,-0.000689519,3.19244e-05,-0.0011197,0.00155696,-0.0022847,0.0861896,0.0869894,-0.00315562
1662925794290431744,2.32956,0.00357292,1.08522,0.331834,-0.614745,-0.55423,0.452552,-0.00053167,-0.000653402,-0.000298547,-0.00111967,0.00155699,-0.00228477,0.0861709,0.0870025,-0.00316102
1662925794300431616,2.32956,0.00356796,1.08521,0.331841,-0.614749,-0.554236,0.452535,-0.000924099,-0.000405062,-0.000384861,-0.00111964,0.00155703,-0.00228485,0.0861522,0.0870156,-0.00316624
1662925794310431744,2.32955,0.00356407,1.08521,0.331826,-0.614762,-0.554241,0.452522,-0.00120474,-0.000354491,-0.00046872,-0.0011196,0.00155706,-0.00228492,0.0861336,0.0870286,-0.00317131
1662925794320431616,2.32953,0.00356015,1.0852,0.331814,-0.614774,-0.554248,0.452506,-0.00131412,-0.000446379,-0.000832379,-0.00111957,0.00155709,-0.002285,0.086115,0.0870413,-0.00317615
1662925794330431744,2.32952,0.00355565,1.08519,0.331788,-0.614781,-0.554272,0.452486,-0.00153147,-0.000392683,-0.000660314,-0.00111954,0.00155713,-0.00228507,0.0860969,0.0870535,-0.00318067
1662925794340431616,2.3295,0.00355174,1.08519,0.331762,-0.614798,-0.554281,0.45247,-0.00127915,-0.000362867,-0.000750583,-0.00111951,0.00155716,-0.00228515,0.0860793,0.087065,-0.00318472
1662925794350431744,2.32949,0.00354851,1.08518,0.331745,-0.61481,-0.55429,0.452457,-0.000829449,-0.000320591,-0.000456627,-0.00111948,0.00155719,-0.00228522,0.086062,0.0870758,-0.00318825
1662925794360431616,2.32949,0.00354456,1.08518,0.331735,-0.614824,-0.554291,0.452444,-0.000256377,-0.000440763,-0.000264428,-0.00111945,0.00155723,-0.0022853,0.086045,0.0870858,-0.00319127
1662925794370431744,2.32949,0.00353933,1.08518,0.331736,-0.614824,-0.554294,0.452439,0.000283256,-0.000608968,-0.000183059,-0.00111942,0.00155726,-0.00228538,0.0860282,0.0870949,-0.00319379
1662925794380431616,2.32949,0.00353305,1.08518,0.331739,-0.614817,-0.554295,0.452445,0.000811981,-0.000578579,0.000270765,-0.00111939,0.0015573,-0.00228546,0.0860117,0.0871032,-0.00319576
1662925794390431744,2.32951,0.00352731,1.08518,0.331762,-0.614812,-0.554291,0.452441,0.00136488,-0.000558666,0.000302342,-0.00111937,0.00155734,-0.00228554,0.0859957,0.0871104,-0.00319711
1662925794400431616,2.32952,0.0035222,1.08518,0.331783,-0.61481,-0.554285,0.452434,0.00159288,-0.000501419,0.000649805,-0.00111934,0.00155737,-0.00228562,0.0859798,0.0871169,-0.00319784
1662925794410431744,2.32954,0.00351654,1.08519,0.331803,-0.614797,-0.554274,0.452451,0.00189214,-0.000593429,0.000624818,-0.00111932,0.00155741,-0.0022857,0.0859641,0.0871228,-0.00319801
1662925794420431616,2.32956,0.00351048,1.0852,0.331833,-0.614783,-0.554265,0.452459,0.0020782,-0.000571683,0.000629297,-0.00111929,0.00155745,-0.00228578,0.0859487,0.0871282,-0.00319767
1662925794430431488,2.32958,0.00350486,1.0852,0.331867,-0.61477,-0.554251,0.452468,0.00192916,-0.000501587,0.00081097,-0.00111927,0.00155749,-0.00228587,0.0859339,0.0871331,-0.0031968
1662925794440431616,2.3296,0.00350011,1.08521,0.331895,-0.61475,-0.554245,0.452483,0.00169225,-0.000469723,0.000485595,-0.00111924,0.00155753,-0.00228595,0.0859198,0.0871375,-0.00319543
1662925794450431488,2.32961,0.00349555,1.08521,0.331927,-0.614741,-0.554234,0.452485,0.000961581,-0.000355039,0.000464254,-0.00111922,0.00155757,-0.00228603,0.0859065,0.0871416,-0.00319361
1662925794460431616,2.32962,0.0034924,1.08522,0.331942,-0.614735,-0.554233,0.452483,0.0005412,-0.000225199,0.000112966,-0.0011192,0.00155762,-0.00228612,0.0858943,0.0871452,-0.00319138
1662925794470431488,2.32962,0.00349056,1.08522,0.331952,-0.614739,-0.554226,0.452478,5.61006e-05,-9.39463e-05,-7.27488e-05,-0.00111918,0.00155766,-0.00228621,0.0858837,0.087148,-0.00318875
1662925794480431616,2.32962,0.00348841,1.08522,0.331956,-0.614743,-0.55422,0.452479,-0.000524363,-0.000148567,-0.000132602,-0.00111916,0.0015577,-0.00228629,0.0858753,0.0871498,-0.00318572
1662925794490431488,2.32961,0.00348718,1.08521,0.331968,-0.614741,-0.554222,0.45247,-0.000886376,1.12799e-05,-0.000386176,-0.00111914,0.00155775,-0.00228638,0.0858698,0.0871502,-0.00318229
1662925794500431616,2.3296,0.00348737,1.08521,0.331951,-0.614755,-0.554232,0.452451,-0.00130115,0.000130785,-5.65634e-05,-0.00111912,0.00155779,-0.00228647,0.0858668,0.0871494,-0.00317854
1662925794510431488,2.32959,0.00348809,1.08521,0.331934,-0.614767,-0.554245,0.452431,-0.00143542,8.4444e-05,-0.000360996,-0.0011191,0.00155784,-0.00228656,0.0858656,0.0871478,-0.00317467
1662925794520431616,2.32957,0.00348943,1.08521,0.331929,-0.614787,-0.554251,0.452401,-0.00150309,0.000227141,-0.000303447,-0.00111909,0.00155788,-0.00228665,0.085866,0.0871457,-0.00317087
1662925794530431488,2.32956,0.0034911,1.0852,0.331926,-0.614813,-0.554253,0.452365,-0.00142313,0.000204864,-0.000427241,-0.00111908,0.00155793,-0.00228674,0.0858676,0.0871434,-0.00316737
1662925794540431616,2.32954,0.00349391,1.0852,0.33193,-0.614819,-0.554263,0.452341,-0.00141262,0.000295135,-0.00053503,-0.00111907,0.00155798,-0.00228683,0.08587,0.087141,-0.00316433
1662925794550431488,2.32953,0.00349634,1.08519,0.331922,-0.614839,-0.554263,0.45232,-0.00116218,0.000287552,-0.000406589,-0.00111906,0.00155802,-0.00228693,0.085873,0.0871386,-0.0031618
1662925794560431360,2.32952,0.00350007,1.08519,0.331912,-0.614847,-0.554266,0.452313,-0.000802696,0.000429352,-0.000488508,-0.00111905,0.00155807,-0.00228702,0.0858765,0.0871362,-0.00315984
1662925794570431488,2.32951,0.00350415,1.08519,0.331907,-0.614856,-0.554274,0.452294,-0.000428923,0.000435829,3.87577e-05,-0.00111905,0.00155812,-0.00228712,0.0858807,0.0871337,-0.00315851
1662925794580431360,2.32951,0.00350755,1.08518,0.331912,-0.614856,-0.554271,0.452294,0.000187413,0.000308235,8.91564e-06,-0.00111904,0.00155817,-0.00228721,0.0858857,0.0871309,-0.00315785
1662925794590431488,2.32952,0.00351065,1.08519,0.331909,-0.614854,-0.554272,0.452297,0.000774827,0.000369813,0.000381238,-0.00111904,0.00155822,-0.00228731,0.0858917,0.0871277,-0.00315797
1662925794600431360,2.32953,0.00351387,1.08519,0.331907,-0.614852,-0.554271,0.452304,0.00104756,0.000307112,0.00075128,-0.00111903,0.00155827,-0.0022874,0.0858984,0.0871243,-0.00315894
1662925794610431488,2.32954,0.00351652,1.0852,0.331928,-0.614858,-0.554258,0.452296,0.00135681,0.000178804,0.000618667,-0.00111903,0.00155832,-0.0022875,0.0859054,0.0871212,-0.00316082
1662925794620431360,2.32955,0.00351803,1.08521,0.331949,-0.614842,-0.554257,0.452303,0.00141004,0.000152677,0.000946451,-0.00111904,0.00155838,-0.0022876,0.0859123,0.0871186,-0.00316368
1662925794630431488,2.32957,0.0035197,1.08522,0.33197,-0.614835,-0.55425,0.452306,0.00140526,0.000132185,0.000576264,-0.00111904,0.00155843,-0.0022877,0.0859185,0.0871169,-0.00316757
1662925794640431360,2.32958,0.00352144,1.08522,0.331991,-0.614827,-0.554241,0.452312,0.000952331,0.00015795,0.000510143,-0.00111904,0.00155849,-0.00228781,0.0859239,0.0871163,-0.00317255
1662925794650431488,2.32958,0.00352308,1.08522,0.332,-0.614827,-0.554233,0.452316,0.000399398,0.000168536,0.000244384,-0.00111905,0.00155854,-0.00228791,0.0859281,0.0871172,-0.00317854
1662925794660431360,2.32959,0.00352579,1.08523,0.331988,-0.614824,-0.554233,0.45233,-6.90948e-05,0.00021034,-3.88126e-05,-0.00111906,0.0015586,-0.00228801,0.0859309,0.0871195,-0.00318539
1662925794670431488,2.32958,0.00352815,1.08523,0.331974,-0.614828,-0.554237,0.452329,-0.000656358,0.000203652,-0.000121309,-0.00111906,0.00155866,-0.00228812,0.0859321,0.0871235,-0.00319299
